CustomerKey,CustomerName,TotalSpent,AvgOrderValue,TotalOrders,CLV_Profit,Num_purchases,lAST_PURCHASE_DATE,Recency
12301,Nichole Nara,13295.38,1022.7215,13,5250.4207,4,20-11-2013,69
12132,Kaitlyn Henderson,13294.27,949.5907,14,5273.81,5,17-10-2013,103
12308,Margaret He,13269.27,947.805,14,5254.6,4,19-11-2013,70
12131,Randall Dominguez,13265.99,1205.999,11,5232.0226,4,10-10-2013,110
12300,Adriana Gonzalez,13242.7,1324.27,10,5237.2391,4,17-10-2013,103
12321,Rosa Hu,13215.65,881.0433,15,5221.0338,4,21-11-2013,68
12124,Brandi Gill,13195.64,1099.6366,12,5208.5077,3,07-10-2013,113
12307,Brad She,13173.19,1197.5627,11,5198.014,4,17-11-2013,72
12296,Francisco Sara,13164.64,1097.0533,12,5189.1017,4,25-10-2013,95
11433,Maurice Shan,12909.6682,1075.8056,12,5196.5982,5,14-09-2013,136
11439,Janet Munoz,12489.1696,892.0835,14,5075.8875,4,20-10-2013,100
11241,Lisa Cai,11469.1882,458.7675,25,4815.1065,6,29-10-2013,91
11417,Lacey Zheng,11248.4582,661.674,17,4701.8699,4,15-12-2013,44
11420,Jordan Turner,11200.7696,658.8688,17,4668.3191,5,29-11-2013,60
11242,Larry Munoz,11068.0082,922.334,12,4588.1801,4,04-12-2013,55
12655,Larry Vazquez,10899.62,990.8745,11,4340.9707,5,17-06-2013,225
13263,Kate Anand,10872.06,906.005,12,4323.7181,5,06-07-2013,206
12323,Lawrence Alonso,10836.9,985.1727,11,4317.944,5,15-05-2013,258
12333,Terrance Rodriguez,10829.22,984.4745,11,4288.9245,5,05-06-2013,237
12650,Aaron Wright,10813.63,1201.5144,9,4286.2852,5,25-06-2013,217
12631,Clarence Gao,10799.52,981.7745,11,4302.3923,4,07-06-2013,235
12632,Bonnie Nath,10793.27,1798.8783,6,4294.1918,2,16-06-2013,226
12332,Andres Nara,10789.53,1078.953,10,4296.1386,4,24-06-2013,218
13405,Ethan Bryant,10778.61,979.8736,11,4289.3026,4,24-07-2013,188
11245,Ricky Vazquez,10580.35,1175.5944,9,4358.0768,3,11-12-2013,48
11246,Latasha Rubio,10575.33,1510.7614,7,4354.9344,2,20-12-2013,39
11237,Clarence Anand,10566.38,1761.0633,6,4349.3317,2,25-11-2013,64
11425,Ariana Gray,10528.6282,701.9085,15,4435.0623,5,21-12-2013,38
11429,Marco Lopez,10468.3796,615.787,17,4375.8288,4,24-12-2013,35
11428,Deanna Perez,9954.26,829.5216,12,4131.2896,5,22-10-2013,98
11427,Desiree Dominguez,9917.99,1101.9988,9,4129.9647,3,20-10-2013,100
11431,Bryant Garcia,9912.98,901.18,11,4134.6766,4,30-09-2013,120
11423,Jasmine Stewart,9904.97,990.497,10,4130.8124,5,20-10-2013,100
11249,Cindy Patel,9890.27,899.1154,11,4097.1041,4,15-09-2013,135
11412,Sydney Bryant,9879.96,898.1781,11,4111.5961,5,11-10-2013,109
14186,Katrina Tang,9796.32,979.632,10,3898.1487,4,12-08-2013,169
11421,Amy Sun,9780.04,2445.01,4,4051.4564,1,09-10-2013,111
13592,Gabriella Collins,9695.73,1385.1042,7,3835.1794,2,11-08-2013,170
13605,Gerrit Straatsma,9614.73,1373.5328,7,3788.7616,3,01-08-2013,180
14185,Frank Vazquez,9523.0025,732.5386,13,3831.5341,4,31-07-2013,181
13575,Alicia Shen,9458.1825,727.5525,13,3769.5767,5,03-08-2013,178
14192,Ronald Kapoor,9451.9125,945.1912,10,3779.1836,4,03-08-2013,178
13577,Theodore Torres,9450.3225,859.1202,11,3786.0365,4,16-08-2013,165
14200,Colleen Goel,9421.9125,942.1912,10,3763.9636,4,28-09-2013,122
13595,Cole Stewart,9390.5325,1043.3925,9,3748.608,3,15-08-2013,166
11432,Dominique Prasad,9330.1996,583.1374,16,3950.1228,4,25-12-2013,34
13257,Jon Chander,8941.28,993.4755,9,3630.7276,5,06-12-2013,53
13258,Anne Dominguez,8886.53,888.653,10,3600.0141,4,14-12-2013,45
12128,Kristy Munoz,8681.1082,964.5675,9,3631.8476,3,04-12-2013,55
12125,Diana Ortega,8595.4096,859.5409,10,3603.0025,4,17-11-2013,72
12129,Wendy Alvarez,8557.4096,950.8232,9,3575.6546,4,25-12-2013,34
13600,Marie Sanz,8460.25,769.1136,11,3451.5,5,03-07-2013,209
14427,Emmanuel Patel,8451.26,845.126,10,3449.4323,6,27-08-2013,154
15106,Shannon Navarro,8421.28,1052.66,8,3429.0809,4,14-08-2013,167
14775,Bonnie Xie,8404.28,1050.535,8,3424.3112,5,05-06-2013,237
14429,Lacey He,8394.29,1399.0483,6,3433.5653,3,16-08-2013,165
15692,Ryan Garcia,8392.3,1198.9,7,3432.3195,4,31-07-2013,181
15097,Morgan Bennett,8377.09,930.7877,9,3427.0862,4,03-08-2013,178
13602,Virginia Mehta,8376.28,1047.035,8,3418.7309,5,30-06-2013,212
13583,Blake Butler,8375.29,1046.9112,8,3418.1112,5,06-06-2013,236
13581,Albert Blanco,8374.79,1046.8487,8,3421.3582,4,09-06-2013,233
13585,Savannah Morris,8368.29,1394.715,6,3400.1975,3,19-07-2013,193
